Month_name, ORG_NAME, BID_PRICE, BID_CAPACITY, LOCATION_DESCRIPTION, OFFER_PRICE, OFFER_CAPACITY,AuctionType
March,7,2.03,6,7,,,Obligation
March,7,2.06,15,1,,,Obligation
March,7,2.06,9,7,,,Obligation
March,1209,0.05,183.8,2,,,Obligation
March,1209,0.06,171.7,2,,,Obligation
March,1209,0.07,160.5,2,,,Obligation
March,1209,0.08,150,2,,,Obligation
March,1209,0.13,20.4,2,,,Obligation
March,1209,0.15,25,2,,,Obligation
March,1209,0.16,25,2,,,Obligation
March,1209,0.39,3.7,4,,,Obligation
March,1209,0.4,3.5,4,,,Obligation
March,1209,0.58,2.9,4,,,Obligation
March,1209,0.6,2.9,4,,,Obligation
March,1209,0.63,2.9,4,,,Obligation
March,1209,1.54,38.3,1,,,Obligation
March,1209,1.59,36.5,1,,,Obligation
March,1209,1.62,21.9,7,,,Obligation
March,1209,1.64,34.7,1,,,Obligation
March,1209,1.65,21.2,7,,,Obligation
March,1209,1.68,20.6,7,,,Obligation
March,1209,1.69,33.1,1,,,Obligation
March,1209,1.71,20,7,,,Obligation
March,1209,1.74,31.5,1,,,Obligation
March,1209,1.74,5,7,,,Obligation
March,1209,1.79,30,1,,,Obligation
March,1209,2.2,10,7,,,Obligation
March,1740,0.05,500,2,,,Obligation
March,1740,0.08,150,2,,,Obligation
March,1740,0.1,50,2,,,Obligation
March,1740,0.12,50,2,,,Obligation
March,1740,1.2,50,1,,,Obligation
March,1740,1.45,25,1,,,Obligation
April,67,0.03,3,2,,,Obligation
April,67,0.05,48,2,,,Obligation
April,67,0.1,44,2,,,Obligation
April,67,0.15,37,2,,,Obligation
April,67,1.35,24,1,,,Obligation
April,67,1.35,65,7,,,Obligation
April,67,1.45,23,1,,,Obligation
April,67,1.45,68,7,,,Obligation
April,67,1.55,23,1,,,Obligation
April,67,1.55,57,7,,,Obligation
April,67,1.65,18,1,,,Obligation
April,67,1.65,57,7,,,Obligation
April,67,1.75,5,4,,,Obligation
April,67,1.85,5,4,,,Obligation
April,67,1.95,5,4,,,Obligation
April,3,0.01,1,2,,,Obligation
April,3,0.02,1,2,,,Obligation
April,3,0.03,4,2,,,Obligation
April,3,0.04,10,2,,,Obligation
April,3,0.05,10,2,,,Obligation
April,3,0.06,25,2,,,Obligation
April,3,0.07,40,2,,,Obligation
April,3,0.08,50,2,,,Obligation
April,3,0.09,75,2,,,Obligation
April,3,0.1,50,2,,,Obligation
April,3,0.11,5,2,,,Obligation
April,3,0.13,5,2,,,Obligation
April,3,0.14,5,2,,,Obligation
April,3,0.15,5,2,,,Obligation
April,3,0.16,10,2,,,Obligation
April,3,0.17,10,2,,,Obligation
April,3,0.18,25,2,,,Obligation
April,3,0.19,25,2,,,Obligation
April,1124,0.12,1.8,2,,,Obligation
April,1124,0.15,20,2,,,Obligation
April,1124,1.4,10,7,,,Obligation
April,1124,1.45,15,1,,,Obligation
April,1124,1.75,3.1,1,,,Obligation
April,1124,1.75,1.2,7,,,Obligation
April,1320,0.05,100,2,,,Obligation
April,1320,0.07,50,2,,,Obligation
April,1320,0.08,25,2,,,Obligation
April,1320,0.1,100,2,,,Obligation
April,1320,1,50,1,,,Obligation
April,1320,1,50,7,,,Obligation
April,1320,1.25,25,1,,,Obligation
April,1320,1.25,25,7,,,Obligation
April,1320,1.3,25,1,,,Obligation
April,1320,1.3,25,7,,,Obligation
